
tomber Conditionnel Passé,je serais tombé,tu serais tombé,il serait tombé,nous serions tombés,vous seriez tombés,ils seraient tombés
tomber Subjonctif Présent,que je tombe,que tu tombes,qu'il tombe,que nous tombions,que vous tombiez,qu'ils tombent
tomber Subjonctif Passé,que je sois tombé,que tu sois tombé,qu'il soit tombé,que nous soyons tombés,que vous soyez tombés,qu'ils soient tombés
tomber Subjonctif Imparfait,que je tombasse,que tu tombasses,qu'il tombât,que nous tombassions,que vous tombassiez,qu'ils tombassent
tomber Subjonctif Plus-que-parfait,que je fusse tombé,que tu fusses tombé,qu'il fût tombé,que nous fussions tombés,que vous fussiez tombés,qu'ils fussent tombés
tomber Passé simple,je tombai,tu tombas,il tomba,nous tombâmes,vous tombâtes,ils tombèrent
tomber Passé Antérieur,je fus tombé,tu fus tombé,il fut tombé,nous fûmes tombés,vous fûtes tombés,ils furent tombés
tomber Impératif Présent,,tu tombe,,nous tombons,vous tombez,
tomber Infinitif Présent,je tomber,tu tomber,il tomber,nous tomber,vous tomber,ils tomber
tomber Participe Présent,je tombant,tu tombant,il tombant,nous tombant,vous tombant,ils tombant
tomber Participe Passé,je tombé,tu tombé,il tombé,nous tombé,vous tombé,ils tombé

becter Présent,,,,,,
becter Passé Composé,j'ai becté,tu as becté,il a becté,nous avons becté,vous avez becté,ils ont becté
becter Imparfait,,,,,,
becter Plus-que-parfait,j'avais becté,tu avais becté,il avait becté,nous avions becté,vous aviez becté,ils avaient becté
becter Futur Simple,,,,,,
becter Futur Antérieur,j'aurai becté,tu auras becté,il aura becté,nous aurons becté,vous aurez becté,ils auront becté
becter Conditionnel Présent,,,,,,
becter Conditionnel Passé,j'aurais becté,tu aurais becté,il aurait becté,nous aurions becté,vous auriez becté,ils auraient becté
becter Subjonctif Présent,,,,,,
becter Subjonctif Passé,que j'aie becté,que tu aies becté,qu'il ait becté,que nous ayons becté,que vous ayez becté,qu'ils aient becté
becter Subjonctif Imparfait,,,,,,
